Collection, Function, Index, nReturned, Execution (ms), keysExamined, docsExamined
Users, getUserLogin, _id_, 1, 100, 78795, 78795
Users, getUserLogin, For login, 1, 0, 1, 1
Users, getUser, _id_, 1, 108, 78795, 78795
Users, getUser, For search, 2, 60, 78795, 2
-,-,-,-,-,-,-
Restaurants, getRestaurantsForSearchPage, _id_, 7, 79, 38581, 38581
Restaurants, getRestaurantsForSearchPage, search by zip_code, 7, 0, 7, 7
Restaurants, getRestaurantLogin, _id_, 1, 74, 3851, 3851
Restaurants, getRestaurantLogin, search by email, 1, 3, 1, 1
-,-,-,-,-,-,-
Orders, getOrders, _id_, 19, 674, 602694, 602964
Orders, getOrders, faster aggregation by user name, 19, 0, 19, 19
Orders, getOrders, faster aggregation by restaurantId, 415, 2, 415, 415
